|SUL_NO   |SEQ|REV_SEQ|MAT_DESC|GONG_SEQ|GONG_CD|GONG_NM|JACK_SEQ|JACK_CD|JACK_NM   |LAYER|SEQNO|MATNR  |MATNR_NM                               |JAJE_QTY|JAJE_UNIT|WAERS|SPMON  |PRICE |PRICE_01|PRICE_02|PRICE_03|PRICE_04|PRICE_05|IN_PRICE|AMT|RMK                  |AEDAT                  |AEZET                  |REG_EMP|REG_DATE               |
|SM2500113|9  |00     |        |2       |CST    |연선     |2       |       |테이핑       |2    |1    |7246762|STB TAPE 0.17X60                       |160     |KG       |KRW  |202,510|10,100|10,100  |10,100  |10,100  |10,100  |10,100  |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.467|
|SM2500113|10 |00     |        |2       |CST    |연선     |3       |       |테이핑       |1    |1    |7609424|PET TAPE 0.075X80                      |63      |KG       |KRW  |202,510|3,400 |3,400   |3,400   |3,400   |3,400   |3,400   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.470|
|SM2500113|11 |00     |        |3       |INS    |절연     |2       |       |가교내도      |1    |1    |7608001|반도전COMPD LS-9405S-B                    |995     |KG       |KRW  |202,510|11,161|11,161  |11,719  |12,277  |12,277  |12,277  |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.470|
|SM2500113|12 |00     |        |3       |INS    |절연     |3       |       |가교절연압출    |1    |1    |7616617|XLPE LS-4201EHV                        |14,538  |KG       |USD  |202,510|4     |4       |4       |5       |5       |5       |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.473|
|SM2500113|13 |00     |        |3       |INS    |절연     |4       |       |가교외도압출    |1    |1    |7608001|반도전COMPD LS-9405S-B                    |1,611   |KG       |KRW  |202,510|11,161|11,161  |11,719  |12,277  |12,277  |12,277  |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.473|
|SM2500113|14 |00     |        |5       |LDS    |연피쉬스   |1       |       |종첨        |1    |1    |7647739|PE TAPE 0.07X3 RD                      |0       |KG       |KRW  |202,510|4,500 |4,500   |4,500   |4,500   |4,500   |4,500   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.477|
|SM2500113|15 |00     |        |5       |LDS    |연피쉬스   |1       |       |종첨        |2    |1    |7647740|PE TAPE 0.07X3 YL                      |0       |KG       |KRW  |0      |4,500 |0       |0       |0       |0       |0       |0       |0  |Latest G/R:2024.11.01|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.480|
|SM2500113|16 |00     |        |5       |LDS    |연피쉬스   |1       |       |종첨        |3    |1    |7647741|PE TAPE 0.07X3 BL                      |0       |KG       |KRW  |202,510|4,500 |4,500   |4,500   |4,500   |4,500   |4,500   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.483|
|SM2500113|17 |00     |        |5       |LDS    |연피쉬스   |2       |       |종첨        |1    |1    |7615277|반도전 S/W TAPE(염수용) 0.45X380             |529     |KG       |KRW  |0      |8,750 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.493|
|SM2500113|18 |00     |        |5       |LDS    |연피쉬스   |3       |       |연피쉬스      |1    |1    |7274763|LEAD ALLOY (JUMBO) CU-TE-LS            |31,192  |KG       |KRW  |0      |3,010 |0       |0       |0       |0       |0       |0       |0  |Latest G/R:2025.10.20|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.497|
